adx_threshold,swing_period,cooldown_bars,min_vwap_dist_pct,pos_frac_cap,ema_filter,total_return_pct,cagr_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,win_rate_pct,profit_factor,total_trades,final_capital,sl_rate_pct
30,200,30,0.002,0.2,True,-21.82,-3.89,-0.852,-0.192,-23.82,-0.163,28.0,0.656,100,7818.25,70.0
30,100,30,0.005,0.15,True,-16.87,-2.93,-0.861,-0.164,-20.8,-0.141,34.07,0.647,91,8312.96,65.93
35,100,20,0.01,0.15,True,-14.19,-2.44,-0.861,-0.118,-16.45,-0.148,26.09,0.514,46,8580.79,73.91
25,50,30,0.002,0.25,True,-28.7,-5.3,-0.868,-0.243,-30.94,-0.171,28.28,0.716,145,7129.77,71.72
25,200,20,0.01,0.25,True,-25.14,-4.56,-0.875,-0.179,-29.47,-0.155,27.91,0.629,86,7486.31,72.09
35,50,20,0.01,0.25,True,-19.99,-3.53,-0.876,-0.138,-23.6,-0.15,23.08,0.54,52,8001.2,76.92
30,50,20,0.01,0.2,True,-20.71,-3.67,-0.876,-0.164,-22.5,-0.163,28.57,0.609,77,7928.86,71.43
25,50,10,0.01,0.2,True,-28.97,-5.36,-0.883,-0.229,-32.94,-0.163,30.71,0.697,140,7103.48,69.29
30,100,10,0.01,0.15,True,-19.35,-3.41,-0.885,-0.169,-22.09,-0.154,28.92,0.613,83,8064.75,71.08
25,200,20,0.005,0.15,True,-21.17,-3.76,-0.891,-0.199,-24.83,-0.151,36.22,0.679,127,7883.03,63.78
30,200,30,0.01,0.15,True,-15.49,-2.67,-0.895,-0.134,-16.28,-0.164,26.42,0.528,53,8451.11,71.7
25,200,20,0.002,0.2,True,-26.42,-4.82,-0.895,-0.233,-29.76,-0.162,30.94,0.69,139,7358.3,69.06
35,100,10,0.01,0.15,True,-17.72,-3.09,-0.899,-0.148,-21.12,-0.146,26.98,0.556,63,8228.3,73.02
35,50,30,0.01,0.15,True,-14.41,-2.48,-0.901,-0.122,-15.13,-0.164,26.09,0.496,46,8559.16,73.91
30,100,20,0.01,0.15,True,-16.85,-2.93,-0.912,-0.149,-18.2,-0.161,28.12,0.56,64,8315.23,71.88
30,50,20,0.005,0.2,True,-26.88,-4.92,-0.918,-0.23,-30.84,-0.159,30.88,0.688,136,7312.27,68.38
25,200,30,0.005,0.2,True,-23.61,-4.25,-0.919,-0.194,-27.17,-0.156,34.23,0.657,111,7638.83,64.86
30,200,10,0.01,0.15,True,-20.02,-3.54,-0.92,-0.167,-23.39,-0.151,27.03,0.576,74,7997.62,72.97
25,100,10,0.005,0.25,True,-35.27,-6.77,-0.921,-0.286,-40.22,-0.168,28.73,0.726,181,6472.85,70.17
25,50,30,0.005,0.2,True,-26.53,-4.84,-0.925,-0.234,-28.58,-0.17,31.65,0.689,139,7347.15,68.35
30,100,20,0.005,0.15,True,-20.92,-3.71,-0.93,-0.209,-25.68,-0.144,32.48,0.656,117,7908.23,66.67
25,100,20,0.005,0.2,True,-28.61,-5.28,-0.939,-0.251,-31.59,-0.167,30.46,0.694,151,7138.8,68.87
25,100,10,0.01,0.25,True,-31.86,-5.99,-0.94,-0.239,-37.3,-0.161,26.02,0.662,123,6814.11,73.17
25,50,10,0.002,0.25,True,-38.38,-7.5,-0.945,-0.334,-46.4,-0.162,30.34,0.755,234,6162.1,68.38
35,50,20,0.01,0.2,True,-19.1,-3.36,-0.946,-0.145,-21.85,-0.154,23.08,0.505,52,8089.7,76.92
30,50,10,0.01,0.25,True,-29.91,-5.57,-0.947,-0.219,-32.4,-0.172,27.1,0.64,107,7008.56,72.9
30,100,20,0.002,0.2,True,-24.93,-4.51,-0.95,-0.218,-29.1,-0.155,33.33,0.663,123,7506.91,66.67
25,200,10,0.01,0.25,True,-31.7,-5.96,-0.95,-0.229,-37.91,-0.157,27.59,0.65,116,6830.3,72.41
35,200,30,0.002,0.2,True,-18.75,-3.29,-0.958,-0.154,-20.93,-0.157,26.23,0.532,61,8124.9,73.77
35,200,10,0.005,0.15,True,-19.63,-3.46,-0.961,-0.173,-22.55,-0.153,32.14,0.587,84,8036.95,67.86
30,100,10,0.005,0.15,True,-23.46,-4.21,-0.964,-0.239,-28.38,-0.148,31.88,0.668,138,7654.33,66.67
30,100,30,0.002,0.25,True,-27.81,-5.12,-0.967,-0.223,-31.43,-0.163,31.36,0.657,118,7218.55,68.64
25,100,20,0.01,0.2,True,-23.92,-4.31,-0.971,-0.197,-27.88,-0.155,26.44,0.592,87,7608.27,73.56
25,200,20,0.01,0.2,True,-24.76,-4.48,-0.972,-0.193,-28.56,-0.157,27.91,0.586,86,7524.17,72.09
35,100,30,0.005,0.25,False,-30.96,-5.79,-0.974,-0.24,-35.53,-0.163,32.61,0.678,138,6904.0,67.39
35,50,20,0.005,0.2,True,-23.77,-4.28,-0.975,-0.194,-26.28,-0.163,29.79,0.611,94,7622.5,69.15
25,50,30,0.01,0.25,True,-26.89,-4.92,-0.989,-0.197,-27.32,-0.18,27.59,0.593,87,7311.34,72.41
25,100,10,0.002,0.2,True,-33.98,-6.47,-0.994,-0.316,-40.45,-0.16,31.86,0.717,204,6601.76,67.65
35,100,20,0.005,0.15,True,-19.25,-3.38,-1.013,-0.177,-21.07,-0.161,33.33,0.572,84,8075.45,66.67
35,200,20,0.002,0.25,True,-24.53,-4.43,-1.019,-0.186,-25.05,-0.177,25.68,0.552,74,7546.98,72.97
25,50,10,0.005,0.2,True,-35.61,-6.85,-1.02,-0.325,-40.24,-0.17,30.77,0.714,208,6438.84,68.27
