min_size_pct,min_bars_in,rr_ratio,risk_per_trade,total_return_pct,cagr_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,win_rate_pct,profit_factor,total_trades,final_capital
7.0,4,2.5,0.02,18.69,2.79,0.372,0.067,-12.11,0.231,41.3,1.403,46,11869.2
4.0,8,4.0,0.08,18.65,2.79,0.296,0.092,-72.84,0.038,32.65,1.258,98,11865.45
7.0,5,1.5,0.05,18.64,2.79,0.255,0.035,-27.7,0.101,47.62,1.261,42,11864.06
7.0,8,3.0,0.01,18.4,2.75,0.761,0.124,-3.21,0.858,53.57,2.557,28,11840.44
7.0,5,2.0,0.02,17.85,2.68,0.413,0.063,-9.49,0.282,44.74,1.477,38,11785.17
7.0,6,2.5,0.01,17.6,2.64,0.715,0.117,-4.24,0.623,52.94,2.134,34,11760.02
7.0,10,2.0,0.01,17.25,2.59,0.795,0.12,-4.57,0.567,56.67,2.35,30,11725.04
7.0,6,3.0,0.01,16.94,2.55,0.699,0.112,-3.21,0.794,54.84,2.267,31,11693.63
7.0,8,2.0,0.01,16.91,2.54,0.772,0.116,-4.24,0.6,54.84,2.259,31,11691.27
7.0,5,4.0,0.01,16.85,2.53,0.59,0.111,-3.96,0.64,50.0,2.044,32,11685.23
4.0,10,4.0,0.01,16.74,2.52,0.397,0.12,-10.72,0.235,34.83,1.359,89,11674.1
7.0,3,4.0,0.03,16.47,2.48,0.232,0.053,-35.41,0.07,32.08,1.271,53,11647.08
7.0,4,2.0,0.02,16.37,2.47,0.362,0.06,-12.11,0.204,43.48,1.372,46,11637.11
7.0,4,4.0,0.01,15.98,2.41,0.498,0.109,-7.33,0.329,41.46,1.696,41,11597.79
4.0,8,1.5,0.05,15.27,2.31,0.214,0.049,-46.39,0.05,43.22,1.159,118,11526.57
7.0,5,2.5,0.01,15.12,2.29,0.616,0.101,-4.24,0.54,50.0,1.875,36,11511.87
4.0,10,2.0,0.05,14.81,2.24,0.212,0.05,-47.42,0.047,40.0,1.167,100,11480.66
7.0,3,4.0,0.08,14.52,2.2,0.232,0.053,-70.89,0.031,32.08,1.271,53,11452.29
7.0,3,2.0,0.05,14.49,2.2,0.206,0.037,-33.87,0.065,38.98,1.196,59,11449.41
7.0,5,3.0,0.01,14.47,2.2,0.599,0.097,-3.21,0.685,51.52,1.954,33,11446.89
7.0,10,1.5,0.01,14.33,2.18,0.766,0.104,-4.57,0.476,57.58,2.132,33,11432.51
4.0,10,2.0,0.03,14.25,2.16,0.212,0.05,-30.77,0.07,40.0,1.167,100,11424.85
7.0,2,2.0,0.02,14.25,2.16,0.3,0.057,-15.57,0.139,39.39,1.271,66,11424.62
4.0,8,1.5,0.03,13.99,2.13,0.214,0.049,-29.56,0.072,43.22,1.159,118,11398.72
7.0,8,1.5,0.01,13.53,2.06,0.72,0.098,-4.24,0.486,55.88,2.021,34,11352.63
4.0,10,2.5,0.01,13.08,2.0,0.367,0.095,-10.15,0.197,38.95,1.285,95,11308.14
7.0,6,1.5,0.02,12.79,1.95,0.351,0.048,-11.36,0.172,47.5,1.376,40,11278.7
7.0,5,1.5,0.03,12.72,1.94,0.255,0.035,-16.88,0.115,47.62,1.261,42,11271.57
4.0,10,1.5,0.01,12.41,1.9,0.41,0.091,-10.97,0.173,46.73,1.284,107,11240.6
7.0,3,4.0,0.02,12.36,1.89,0.232,0.053,-25.01,0.076,32.08,1.271,53,11235.6
4.0,8,4.0,0.01,12.08,1.85,0.296,0.092,-12.86,0.144,32.65,1.258,98,11207.98
7.0,4,2.0,0.2,11.54,1.77,0.362,0.06,-77.16,0.023,43.48,1.372,46,11153.77
7.0,3,2.0,0.03,11.51,1.77,0.206,0.037,-21.03,0.084,38.98,1.196,59,11151.09
7.0,3,2.0,0.08,11.45,1.76,0.206,0.037,-50.78,0.035,38.98,1.196,59,11145.02
7.0,6,2.0,0.01,11.31,1.74,0.519,0.079,-4.84,0.359,47.22,1.649,36,11131.01
4.0,10,2.0,0.02,11.17,1.72,0.212,0.05,-21.41,0.08,40.0,1.167,100,11116.74
7.0,4,1.5,0.05,10.87,1.67,0.182,0.027,-32.46,0.052,46.0,1.176,50,11086.97
4.0,8,1.5,0.02,10.81,1.66,0.214,0.049,-20.39,0.082,43.22,1.159,118,11080.76
7.0,4,3.0,0.01,10.28,1.59,0.392,0.072,-6.51,0.243,41.86,1.467,43,11028.49
7.0,5,1.5,0.15,9.88,1.53,0.255,0.035,-70.47,0.022,47.62,1.261,42,10987.7
7.0,2,1.5,0.05,9.56,1.48,0.17,0.029,-39.35,0.038,42.25,1.151,71,10955.83
7.0,4,2.5,0.01,9.52,1.47,0.372,0.067,-6.22,0.237,41.3,1.403,46,10951.76
7.0,4,1.5,0.08,9.18,1.42,0.182,0.027,-49.17,0.029,46.0,1.176,50,10917.83
7.0,5,2.0,0.01,8.96,1.39,0.413,0.063,-4.84,0.287,44.74,1.477,38,10896.13
7.0,5,1.5,0.02,8.93,1.38,0.255,0.035,-11.36,0.122,47.62,1.261,42,10893.3
7.0,3,2.0,0.02,8.55,1.33,0.206,0.037,-14.22,0.093,38.98,1.196,59,10855.01
7.0,4,1.5,0.03,8.49,1.32,0.182,0.027,-20.01,0.066,46.0,1.176,50,10848.63
7.0,4,2.0,0.01,8.34,1.3,0.362,0.06,-6.22,0.208,43.48,1.372,46,10833.93
7.0,2,1.5,0.03,8.31,1.29,0.17,0.029,-24.82,0.052,42.25,1.151,71,10830.89
7.0,3,2.5,0.03,7.91,1.23,0.157,0.031,-30.6,0.04,35.59,1.159,59,10790.67
7.0,4,2.5,0.2,7.47,1.16,0.372,0.067,-81.13,0.014,41.3,1.403,46,10746.57
7.0,2,2.0,0.01,7.44,1.16,0.3,0.057,-8.02,0.145,39.39,1.271,66,10744.17
7.0,3,2.5,0.05,7.42,1.16,0.157,0.031,-46.55,0.025,35.59,1.159,59,10741.65
7.0,3,4.0,0.01,6.82,1.07,0.232,0.053,-13.25,0.08,32.08,1.271,53,10681.67
7.0,6,1.5,0.01,6.5,1.02,0.351,0.048,-5.83,0.175,47.5,1.376,40,10649.76
7.0,3,2.5,0.02,6.4,1.0,0.157,0.031,-21.34,0.047,35.59,1.159,59,10640.38
7.0,2,1.5,0.02,6.36,1.0,0.17,0.029,-16.91,0.059,42.25,1.151,71,10635.72
4.0,10,2.0,0.01,6.35,0.99,0.212,0.05,-11.16,0.089,40.0,1.167,100,10635.01
7.0,4,1.5,0.02,6.28,0.98,0.182,0.027,-13.48,0.073,46.0,1.176,50,10627.6
7.0,2,2.0,0.15,6.19,0.97,0.3,0.057,-79.1,0.012,39.39,1.271,66,10619.13
4.0,8,1.5,0.01,6.08,0.95,0.214,0.049,-10.65,0.09,43.22,1.159,118,10608.1
4.0,10,3.0,0.02,5.21,0.82,0.127,0.033,-23.64,0.035,34.41,1.122,93,10521.32
